date,season,year,month,hour,weekday,workingday,holiday,weather,temp,feels_like,humidity,windspeed,rentals
2011-01-01,winter,2011,jan,0,saturday,0,0,clear,9.8,14.4,81,0.0,16
2011-01-01,winter,2011,jan,1,saturday,0,0,clear,9.0,13.6,80,0.0,40
2011-01-01,winter,2011,jan,2,saturday,0,0,clear,9.0,13.6,80,0.0,32
2011-01-01,winter,2011,jan,3,saturday,0,0,clear,9.8,14.4,75,0.0,13
2011-01-01,winter,2011,jan,4,saturday,0,0,clear,9.8,14.4,75,0.0,1
2011-01-01,winter,2011,jan,5,saturday,0,0,mist,9.8,12.9,75,6.0,1
2011-01-01,winter,2011,jan,6,saturday,0,0,clear,9.0,13.6,80,0.0,2
2011-01-01,winter,2011,jan,7,saturday,0,0,clear,8.2,12.9,86,0.0,3
2011-01-01,winter,2011,jan,8,saturday,0,0,clear,9.8,14.4,75,0.0,8
2011-01-01,winter,2011,jan,9,saturday,0,0,clear,13.1,17.4,76,0.0,14
2011-01-01,winter,2011,jan,10,saturday,0,0,clear,15.6,19.7,76,17.0,36
2011-01-01,winter,2011,jan,11,saturday,0,0,clear,14.8,16.7,81,19.0,56
2011-01-01,winter,2011,jan,12,saturday,0,0,clear,17.2,21.2,77,19.0,84
2011-01-01,winter,2011,jan,13,saturday,0,0,mist,18.9,22.7,72,20.0,94
2011-01-01,winter,2011,jan,14,saturday,0,0,mist,18.9,22.7,72,19.0,106
2011-01-01,winter,2011,jan,15,saturday,0,0,mist,18.0,22.0,77,20.0,110
2011-01-01,winter,2011,jan,16,saturday,0,0,mist,17.2,21.2,82,20.0,93
2011-01-01,winter,2011,jan,17,saturday,0,0,mist,18.0,22.0,82,19.0,67
2011-01-01,winter,2011,jan,18,saturday,0,0,light_rain_snow,17.2,21.2,88,17.0,35
2011-01-01,winter,2011,jan,19,saturday,0,0,light_rain_snow,17.2,21.2,88,17.0,37
2011-01-01,winter,2011,jan,20,saturday,0,0,mist,16.4,20.5,87,17.0,36
2011-01-01,winter,2011,jan,21,saturday,0,0,mist,16.4,20.5,87,13.0,34
2011-01-01,winter,2011,jan,22,saturday,0,0,mist,16.4,20.5,94,15.0,28
2011-01-01,winter,2011,jan,23,saturday,0,0,mist,18.9,22.7,88,20.0,39
2011-01-02,winter,2011,jan,0,sunday,0,0,mist,18.9,22.7,88,20.0,17
2011-01-02,winter,2011,jan,1,sunday,0,0,mist,18.0,22.0,94,17.0,17
2011-01-02,winter,2011,jan,2,sunday,0,0,mist,17.2,21.2,100,19.0,9
2011-01-02,winter,2011,jan,3,sunday,0,0,mist,18.9,22.7,94,13.0,6
2011-01-02,winter,2011,jan,4,sunday,0,0,mist,18.9,22.7,94,13.0,3
2011-01-02,winter,2011,jan,6,sunday,0,0,light_rain_snow,17.2,21.2,77,20.0,2
2011-01-02,winter,2011,jan,7,sunday,0,0,mist,16.4,20.5,76,13.0,1
2011-01-02,winter,2011,jan,8,sunday,0,0,light_rain_snow,16.4,20.5,71,15.0,8
2011-01-02,winter,2011,jan,9,sunday,0,0,mist,15.6,19.7,76,15.0,20
2011-01-02,winter,2011,jan,10,sunday,0,0,mist,14.8,17.4,81,15.0,53
2011-01-02,winter,2011,jan,11,sunday,0,0,mist,14.8,16.7,71,17.0,70
2011-01-02,winter,2011,jan,12,sunday,0,0,mist,14.8,16.7,66,20.0,93
2011-01-02,winter,2011,jan,13,sunday,0,0,mist,14.8,17.4,66,9.0,75
2011-01-02,winter,2011,jan,14,sunday,0,0,light_rain_snow,14.8,17.4,76,13.0,59
2011-01-02,winter,2011,jan,15,sunday,0,0,light_rain_snow,13.9,16.7,81,11.0,74
2011-01-02,winter,2011,jan,16,sunday,0,0,light_rain_snow,13.9,16.7,71,11.0,76
2011-01-02,winter,2011,jan,17,sunday,0,0,clear,13.9,16.7,57,13.0,65
2011-01-02,winter,2011,jan,18,sunday,0,0,mist,14.8,16.7,46,22.0,53
2011-01-02,winter,2011,jan,19,sunday,0,0,clear,13.1,14.4,42,30.0,30
2011-01-02,winter,2011,jan,20,sunday,0,0,clear,12.3,13.6,39,24.0,22
2011-01-02,winter,2011,jan,21,sunday,0,0,clear,10.7,11.4,44,22.0,31
2011-01-02,winter,2011,jan,22,sunday,0,0,clear,9.8,10.6,44,20.0,9
2011-01-02,winter,2011,jan,23,sunday,0,0,clear,9.0,11.4,47,11.0,8
2011-01-03,winter,2011,jan,0,monday,1,0,clear,9.0,9.8,44,24.0,5
2011-01-03,winter,2011,jan,1,monday,1,0,clear,8.2,8.3,44,28.0,2
2011-01-03,winter,2011,jan,4,monday,1,0,clear,6.6,6.8,47,26.0,1
2011-01-03,winter,2011,jan,5,monday,1,0,clear,6.6,6.8,47,19.0,3
2011-01-03,winter,2011,jan,6,monday,1,0,clear,5.7,5.3,50,26.0,30
2011-01-03,winter,2011,jan,7,monday,1,0,clear,5.7,6.8,50,13.0,64
2011-01-03,winter,2011,jan,8,monday,1,0,clear,5.7,6.1,50,19.0,154
2011-01-03,winter,2011,jan,9,monday,1,0,clear,6.6,6.8,43,26.0,88
2011-01-03,winter,2011,jan,10,monday,1,0,clear,7.4,8.3,43,17.0,44
2011-01-03,winter,2011,jan,11,monday,1,0,clear,8.2,9.1,40,22.0,51
2011-01-03,winter,2011,jan,12,monday,1,0,clear,9.0,10.6,35,20.0,61
